Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
2425dhvitd3[m]	-252.54	559233.54	1870.14	1840.45	1858.26	1.00e-05	1.00e-02
1a25dhvitd2[m]	-248.60	562469.19	1874.08	1844.39	1862.21	1.00e-05	1.00e-02
1a25dhvitd3[m]	-210.05	537746.54	1912.62	1882.93	1900.75	1.00e-05	1.00e-02
h[c]	-0.00	0.00	42.75	0.00	0.00	6.31e-08	6.31e-08
1mncam[c]	-169.96	361966.51	221.09	191.40	209.21	1.00e-05	1.00e-02
1mncam[e]	-169.96	361966.51	231.91	202.22	220.03	1.00e-05	1.00e-02
atp[c]	-2791.12	2.42	-2271.09	-2288.25	-2284.81	1.29e-03	4.90e-03
adp[c]	-1916.11	2.12	-1396.08	-1437.64	-1412.23	1.00e-07	1.90e-03
pi[c]	-1095.78	0.96	-1053.44	-1071.25	-1066.51	1.00e-03	6.30e-03
h[x]	-0.00	0.00	41.56	0.00	0.00	1.00e-07	1.00e-07
1pipdn2c[x]	-233.79	275927.43	104.65	74.96	92.77	1.00e-05	1.00e-02
nadh[x]	-1752.70	498055.77	-610.47	-640.16	-622.35	1.00e-05	1.00e-02
Lpipecol[x]	-220.33	248874.76	245.03	215.34	233.15	1.00e-05	1.00e-02
nad[x]	-1833.49	477791.70	-734.12	-763.81	-746.00	1.00e-05	1.00e-02
2425dhvitd2[c]	-297.54	592023.94	1616.13	1586.44	1604.25	1.00e-05	1.00e-02
2425dhvitd2[e]	-297.54	592023.94	1668.38	1638.69	1656.51	1.00e-05	1.00e-02
2425dhvitd3[c]	-252.54	559233.54	1661.13	1631.44	1649.25	1.00e-05	1.00e-02
2425dhvitd3[e]	-252.54	559233.54	1713.38	1683.69	1701.51	1.00e-05	1.00e-02
25hvitd2[m]	-120.24	559666.86	2002.44	1972.75	1990.56	1.00e-05	1.00e-02
25hvitd3[m]	-111.58	531348.94	2011.10	1981.41	1999.23	1.00e-05	1.00e-02
24nph[e]	-49.13	405744.54	126.01	96.32	114.13	1.00e-05	1.00e-02
24nph[c]	-49.13	405744.54	122.09	92.40	110.22	1.00e-05	1.00e-02
25hvitd2[c]	-120.24	559666.86	1793.43	1763.74	1781.55	1.00e-05	1.00e-02
25hvitd2[e]	-120.24	559666.86	1845.68	1815.99	1833.80	1.00e-05	1.00e-02
25hvitd3[c]	-111.58	531348.94	1802.09	1772.40	1790.22	1.00e-05	1.00e-02
25hvitd3[e]	-111.58	531348.94	1854.34	1824.65	1842.47	1.00e-05	1.00e-02
2amac[c]	-248.52	299618.24	-31.22	-60.91	-43.09	1.00e-05	1.00e-02
pyr[c]	-468.14	0.97	-337.66	-367.35	-349.54	1.00e-05	1.00e-02
nadph[c]	-2668.43	657669.80	-1537.71	-1579.27	-1558.05	1.00e-07	3.75e-04
nadp[c]	-2679.91	477791.70	-1593.06	-1634.62	-1624.14	1.00e-07	5.83e-06
paps[c]	-1893.92	184380.14	-1415.91	-1445.60	-1427.79	1.00e-05	1.00e-02
Lcyst[c]	-616.33	399711.30	-355.49	-385.17	-367.36	1.00e-05	1.00e-02
pap[c]	-1868.99	4.10	-1390.98	-1420.67	-1402.86	1.00e-05	1.00e-02
L2aadp[c]	-577.81	196501.41	-142.91	-172.60	-154.79	1.00e-05	1.00e-02
L2aadp[m]	-577.81	196501.41	-95.52	-125.21	-107.39	1.00e-05	1.00e-02
akg[m]	-793.59	1.67	-600.62	-630.30	-612.49	1.00e-05	1.00e-02
akg[c]	-793.59	1.67	-619.62	-649.31	-631.49	1.00e-05	1.00e-02
2dr1p[c]	-1453.74	148981.05	-1062.71	-1092.40	-1074.58	1.00e-05	1.00e-02
drib[c]	-588.68	2.25	-153.76	-183.45	-165.64	1.00e-05	1.00e-02
nadh[c]	-1752.70	498055.77	-578.41	-614.23	-598.69	9.26e-07	3.83e-04
nad[c]	-1833.49	477791.70	-703.05	-726.67	-721.58	1.05e-04	7.57e-04
2hb[c]	-507.26	3.81	-202.81	-232.50	-214.69	1.00e-05	1.00e-02
2obut[c]	-475.78	4.45	-258.31	-288.00	-270.19	1.00e-05	1.00e-02
h[e]	-0.00	0.00	43.94	0.00	0.00	3.98e-08	3.98e-08
2hb[e]	-507.26	3.81	-194.50	-224.19	-206.37	1.00e-05	1.00e-02
hco3[e]	-593.18	1.66	-548.61	-578.30	-560.49	1.00e-05	1.00e-02
hco3[c]	-593.18	1.66	-549.86	-579.55	-561.74	1.00e-05	1.00e-02
na1[e]	-0.00	100000.00	-0.94	-6.15	-5.74	1.33e-01	1.55e-01
na1[c]	-0.00	100000.00	-1.05	-42.61	-10.56	1.00e-07	2.50e-02
2mcit[c]	-1141.79	202325.65	-837.40	-867.09	-849.27	1.00e-05	1.00e-02
2mcit[e]	-1141.79	202325.65	-829.07	-858.76	-840.94	1.00e-05	1.00e-02
nadh[m]	-1752.70	498055.77	-450.15	-491.71	-467.72	1.00e-07	1.10e-03
nad[m]	-1833.49	477791.70	-579.24	-598.84	-591.86	5.00e-04	7.50e-03
2oxoadp[m]	-761.92	6.86	-472.47	-502.16	-484.34	1.00e-05	1.00e-02
coa[m]	-2045.80	782268.82	-502.12	-517.90	-516.42	2.20e-03	3.90e-03
co2[m]	-390.18	3.08	-390.18	-419.87	-402.05	1.00e-05	1.00e-02
glutcoa[m]	-2476.04	782268.82	-691.09	-720.78	-702.97	1.00e-05	1.00e-02
2oxoadp[c]	-761.92	6.86	-500.97	-530.66	-512.84	1.00e-05	1.00e-02
34dhmald[c]	-291.89	341678.01	56.00	26.31	44.13	1.00e-05	1.00e-02
34dhoxpeg[c]	-334.81	341727.54	100.07	70.38	88.19	1.00e-05	1.00e-02
34dhoxpeg[e]	-334.81	341727.54	111.92	82.23	100.04	1.00e-05	1.00e-02
34dhpha[c]	-319.94	315430.71	-15.53	-45.22	-27.40	1.00e-05	1.00e-02
amet[c]	-288.25	384356.07	712.05	682.36	700.17	1.00e-05	1.00e-02
ahcys[c]	-256.37	244348.33	613.45	583.76	601.58	1.00e-05	1.00e-02
homoval[c]	-430.29	336004.88	-38.87	-68.56	-50.74	1.00e-05	1.00e-02
34dhphe[e]	-420.65	349640.42	70.73	41.04	58.86	1.00e-05	1.00e-02
34dhphe[c]	-420.65	349640.42	57.70	28.02	45.83	1.00e-05	1.00e-02
34dhpac[c]	-185.18	324910.15	162.72	133.03	150.84	1.00e-05	1.00e-02
34dhoxmand[c]	-407.32	345541.18	-102.92	-132.61	-114.79	1.00e-05	1.00e-02
34hpp[m]	-308.48	328105.83	29.08	-0.61	17.21	1.00e-05	1.00e-02
34hpl[m]	-339.26	329568.34	94.79	65.10	82.91	1.00e-05	1.00e-02
co2[c]	-390.18	3.08	-390.18	-419.87	-402.05	1.00e-05	1.00e-02
34hpp[c]	-308.48	328105.83	-4.05	-33.74	-15.93	1.00e-05	1.00e-02
hgentis[c]	-348.80	335627.05	-44.38	-74.06	-56.25	1.00e-05	1.00e-02
35cgmp[c]	-500.22	487722.29	-21.96	-51.65	-33.84	1.00e-05	1.00e-02
35cgmp[n]	-500.22	487722.29	-21.96	-51.65	-33.84	1.00e-05	1.00e-02
3aib[m]	-310.30	222646.63	123.87	94.18	111.99	1.00e-05	1.00e-02
2mop[m]	-427.53	122623.29	-186.31	-216.00	-198.19	1.00e-05	1.00e-02
glu_L[m]	-607.66	196501.41	-221.85	-251.54	-233.73	1.00e-05	1.00e-02
3aib[c]	-310.30	222646.63	81.13	51.44	69.25	1.00e-05	1.00e-02
3dphb[m]	-21.24	2201682.96	4079.24	4049.56	4067.37	1.00e-05	1.00e-02
3dpdhb[m]	-232.33	2077655.35	3868.06	3838.38	3856.19	1.00e-05	1.00e-02
3dsphgn[c]	-169.62	166816.98	1481.56	1451.87	1469.68	1.00e-05	1.00e-02
sphgn[c]	-205.22	166055.08	1534.44	1504.75	1522.56	1.00e-05	1.00e-02
3hanthrn[c]	-273.43	246238.49	-12.49	-42.18	-24.37	1.00e-05	1.00e-02
cmusa[c]	-642.20	336642.58	-381.99	-411.68	-393.86	1.00e-05	1.00e-02
b2coa[m]	-2115.38	845397.81	-378.71	-408.40	-390.59	1.00e-05	1.00e-02
3hbcoa_R[m]	-2335.33	782268.82	-502.14	-531.83	-514.02	1.00e-05	1.00e-02
3hibutcoa[m]	-2285.42	803651.59	-452.23	-481.92	-464.11	1.00e-05	1.00e-02
3hmp[m]	-475.09	158635.07	-137.39	-167.08	-149.26	1.00e-05	1.00e-02
glu_L[c]	-607.66	196501.41	-259.75	-289.44	-271.62	1.00e-05	1.00e-02
hLkynr[c]	-302.19	337813.03	219.63	189.94	207.76	1.00e-05	1.00e-02
42A3HP24DB[c]	-285.32	359199.39	62.58	32.89	50.71	1.00e-05	1.00e-02
dopa[c]	-165.70	317104.49	356.18	326.49	344.30	1.00e-05	1.00e-02
coa[c]	-2045.80	782268.82	-654.32	-681.25	-677.68	2.92e-05	1.17e-04
3hpp[c]	-519.32	3.81	-301.87	-331.55	-313.74	1.00e-05	1.00e-02
3mox4hpac[c]	-256.89	284048.22	178.03	148.34	166.15	1.00e-05	1.00e-02
3mlda[c]	-312.45	323114.18	-8.43	-38.11	-20.30	1.00e-05	1.00e-02
3mlda[e]	-312.45	323114.18	0.04	-29.65	-11.84	1.00e-05	1.00e-02
3mob[c]	-431.17	158138.40	-126.72	-156.41	-138.60	1.00e-05	1.00e-02
3mob[m]	-431.17	158138.40	-93.47	-123.16	-105.35	1.00e-05	1.00e-02
3mop[c]	-448.56	188304.80	-57.13	-86.82	-69.01	1.00e-05	1.00e-02
3mop[m]	-448.56	188304.80	-14.38	-44.07	-26.25	1.00e-05	1.00e-02
3m4hpga[c]	-363.60	302411.03	71.32	41.63	59.44	1.00e-05	1.00e-02
3mox4hoxm[c]	-524.85	358805.12	-133.43	-163.12	-145.31	1.00e-05	1.00e-02
3moxtyr[c]	-237.40	274134.56	371.47	341.79	359.60	1.00e-05	1.00e-02
h2o[l]	-237.45	0.94	-170.65	-170.65	-170.65	1.00e+00	1.00e+00
pi[l]	-1095.78	0.96	-1071.08	-1100.77	-1082.96	1.00e-05	1.00e-02
adn[l]	-188.70	1.59	245.41	215.72	233.54	1.00e-05	1.00e-02
3sala[m]	-544.95	308085.94	-304.08	-333.77	-315.96	1.00e-05	1.00e-02
3sala[c]	-544.95	308085.94	-327.54	-357.23	-339.42	1.00e-05	1.00e-02
asp_L[c]	-601.44	195044.29	-340.52	-370.21	-352.40	1.00e-05	1.00e-02
asp_L[m]	-601.44	195044.29	-312.10	-341.79	-323.97	1.00e-05	1.00e-02
hyptaur[c]	-167.71	304909.59	136.72	107.03	124.85	1.00e-05	1.00e-02
3snpyr[c]	-629.95	290632.21	-542.96	-572.65	-554.84	1.00e-05	1.00e-02
3snpyr[m]	-629.95	290632.21	-533.46	-563.15	-545.34	1.00e-05	1.00e-02
so3[c]	-316.35	344182.30	-318.62	-348.31	-330.50	1.00e-05	1.00e-02
pyr[m]	-468.14	0.97	-323.41	-353.10	-335.29	1.00e-05	1.00e-02
so3[m]	-316.35	344182.30	-322.26	-351.95	-334.14	1.00e-05	1.00e-02
adrnl[c]	-222.10	367278.61	386.71	357.02	374.83	1.00e-05	1.00e-02
mma[c]	-40.79	3.81	220.16	190.47	208.28	1.00e-05	1.00e-02
nrpphr[c]	-245.90	347023.29	275.90	246.22	264.03	1.00e-05	1.00e-02
4abut[c]	-263.63	210937.64	127.79	98.11	115.92	1.00e-05	1.00e-02
4abut[m]	-263.63	210937.64	170.53	140.84	158.65	1.00e-05	1.00e-02
coucoa[m]	-2100.66	862394.01	-267.63	-297.32	-279.51	1.00e-05	1.00e-02
4hbzcoa[m]	-2094.54	910635.92	-358.72	-388.41	-370.59	1.00e-05	1.00e-02
accoa[m]	-2182.56	782268.82	-542.34	-572.03	-554.22	1.00e-05	1.00e-02
4hbz[m]	-320.71	271937.11	-79.60	-109.29	-91.47	1.00e-05	1.00e-02
4hdebrisoquine[e]	85.63	336206.14	711.15	681.46	699.27	1.00e-05	1.00e-02
4hdebrisoquine[c]	85.63	336206.14	694.52	664.83	682.65	1.00e-05	1.00e-02
4hglusa[m]	-513.90	243535.08	-80.43	-110.12	-92.31	1.00e-05	1.00e-02
e4hglu[m]	-689.80	239098.26	-304.15	-333.84	-316.03	1.00e-05	1.00e-02
4hoxpacd[c]	-99.91	197508.77	248.01	218.32	236.14	1.00e-05	1.00e-02
4hphac[c]	-219.61	329569.57	84.81	55.12	72.94	1.00e-05	1.00e-02
4mop[c]	-451.19	2.93	-59.76	-89.45	-71.64	1.00e-05	1.00e-02
4mop[m]	-451.19	2.93	-17.01	-46.70	-28.89	1.00e-05	1.00e-02
4mptnl[c]	-120.63	128734.57	401.27	371.59	389.40	1.00e-05	1.00e-02
4mptnl[e]	-120.63	128734.57	415.53	385.84	403.65	1.00e-05	1.00e-02
4mptnl[m]	-120.63	128734.57	458.28	428.59	446.40	1.00e-05	1.00e-02
4mtolbutamide[e]	-380.09	476501.86	424.14	394.45	412.26	1.00e-05	1.00e-02
4mtolbutamide[c]	-380.09	476501.86	402.76	373.08	390.89	1.00e-05	1.00e-02
4nphsf[e]	-575.67	452948.98	-396.95	-426.64	-408.82	1.00e-05	1.00e-02
4nphsf[c]	-575.67	452948.98	-401.70	-431.39	-413.57	1.00e-05	1.00e-02
4nph[c]	51.96	445464.33	222.65	192.97	210.78	1.00e-05	1.00e-02
4nph[e]	51.96	445464.33	226.50	196.81	214.62	1.00e-05	1.00e-02
4pyrdx[c]	-527.25	328615.81	-179.31	-209.00	-191.19	1.00e-05	1.00e-02
4pyrdx[e]	-527.25	328615.81	-169.81	-199.50	-181.69	1.00e-05	1.00e-02
5adtststeroneglc[c]	-945.32	507118.62	707.39	677.70	695.52	1.00e-05	1.00e-02
5adtststeroneglc[e]	-945.32	507118.62	752.52	722.83	740.64	1.00e-05	1.00e-02
5adtststeroneglc[r]	-945.32	507118.62	707.39	677.70	695.52	1.00e-05	1.00e-02
5adtststerones[c]	-604.89	530286.11	656.39	626.70	644.51	1.00e-05	1.00e-02
5adtststerones[e]	-604.89	530286.11	690.83	661.14	678.95	1.00e-05	1.00e-02
5adtststerone[c]	-139.17	455081.90	1165.60	1135.91	1153.72	1.00e-05	1.00e-02
5adtststerone[e]	-139.17	455081.90	1201.23	1171.54	1189.35	1.00e-05	1.00e-02
5adtststerone[r]	-139.17	455081.90	1165.60	1135.91	1153.72	1.00e-05	1.00e-02
5aop[c]	-354.52	226338.18	36.03	6.34	24.16	1.00e-05	1.00e-02
5aop[m]	-354.52	226338.18	76.38	46.70	64.51	1.00e-05	1.00e-02
5dhf[c]	-1800.33	1371309.14	243.70	214.01	231.83	1.00e-05	1.00e-02
5dhf[l]	-1800.33	1371309.14	-235.25	-264.94	-247.13	1.00e-05	1.00e-02
h2o[e]	-237.45	0.94	-148.09	-148.09	-148.09	1.00e+00	1.00e+00
5fthf[e]	-656.31	573918.14	281.34	251.65	269.46	1.00e-05	1.00e-02
5fthf[c]	-656.31	573918.14	256.09	226.40	244.22	1.00e-05	1.00e-02
5htrp[c]	-228.67	272257.86	293.19	263.50	281.32	1.00e-05	1.00e-02
srtn[c]	26.28	228684.75	591.65	561.96	579.77	1.00e-05	1.00e-02
5homeprazole[e]	-552.04	554227.93	296.82	267.13	284.94	1.00e-05	1.00e-02
5homeprazole[c]	-552.04	554227.93	274.28	244.59	262.40	1.00e-05	1.00e-02
5hoxindact[c]	-40.30	245844.36	351.11	321.42	339.24	1.00e-05	1.00e-02
5hoxindoa[c]	-177.45	305507.90	170.46	140.77	158.59	1.00e-05	1.00e-02
5htrp[e]	-228.67	272257.86	307.41	277.72	295.54	1.00e-05	1.00e-02
5mthf[e]	-689.30	744932.26	381.86	352.17	369.99	1.00e-05	1.00e-02
5mthf[c]	-689.30	744932.26	353.72	324.04	341.85	1.00e-05	1.00e-02
5thf[c]	-2279.64	1046290.38	-322.66	-352.35	-334.53	1.00e-05	1.00e-02
5thf[l]	-2279.64	1046290.38	-776.91	-806.60	-788.79	1.00e-05	1.00e-02
5thf[m]	-2279.64	1046290.38	-109.80	-139.49	-121.67	1.00e-05	1.00e-02
6dhf[c]	-2280.43	941363.65	-151.29	-180.98	-163.17	1.00e-05	1.00e-02
6dhf[l]	-2280.43	941363.65	-644.12	-673.81	-655.99	1.00e-05	1.00e-02
6dhf[m]	-2280.43	941363.65	77.14	47.45	65.26	1.00e-05	1.00e-02
6htststerone[c]	-263.00	444192.48	954.79	925.10	942.92	1.00e-05	1.00e-02
6htststerone[e]	-263.00	444192.48	988.04	958.35	976.17	1.00e-05	1.00e-02
6htststerone[r]	-263.00	444192.48	954.79	925.10	942.92	1.00e-05	1.00e-02
6thf[c]	-2206.20	1078429.18	9.91	-19.77	-1.96	1.00e-05	1.00e-02
6thf[l]	-2206.20	1078429.18	-503.10	-532.79	-514.97	1.00e-05	1.00e-02
6thf[m]	-2206.20	1078429.18	247.85	218.16	235.97	1.00e-05	1.00e-02
7dhchsterol[r]	-34.61	593794.61	1879.06	1849.37	1867.18	1.00e-05	1.00e-02
7dhchsterol[c]	-34.61	593794.61	1879.06	1849.37	1867.18	1.00e-05	1.00e-02
7dhf[c]	-3008.70	1425277.91	-616.74	-646.43	-628.61	1.00e-05	1.00e-02
7dhf[l]	-3008.70	1425277.91	-1171.96	-1201.65	-1183.83	1.00e-05	1.00e-02
7dhf[m]	-3008.70	1425277.91	-356.04	-385.73	-367.92	1.00e-05	1.00e-02
7thf[c]	-2866.33	1378414.24	-388.22	-417.91	-400.09	1.00e-05	1.00e-02
7thf[l]	-2866.33	1378414.24	-963.47	-993.16	-975.34	1.00e-05	1.00e-02
7thf[m]	-2866.33	1378414.24	-118.37	-148.05	-130.24	1.00e-05	1.00e-02
man[c]	-913.80	1.17	-391.89	-421.57	-403.76	1.00e-05	1.00e-02
m2mn[l]	-2739.80	564372.68	-1238.73	-1268.42	-1250.60	1.00e-05	1.00e-02
man[l]	-913.80	1.17	-513.02	-542.71	-524.89	1.00e-05	1.00e-02
mn[l]	-1481.16	366685.41	-648.05	-677.74	-659.92	1.00e-05	1.00e-02
galgluside_hs[c]	-779.07	479840.40	3265.62	3235.93	3253.75	1.00e-05	1.00e-02
udpgal[c]	-2369.77	444777.09	-1414.34	-1444.02	-1426.21	1.00e-05	1.00e-02
thcrm_hs[c]	0.00	0.00	2870.50	2840.81	2858.63	1.00e-05	1.00e-02
udp[c]	-1743.49	433564.06	-1268.72	-1298.41	-1280.60	1.00e-05	1.00e-02
h[g]	-0.00	0.00	37.70	0.00	0.00	4.47e-07	4.47e-07
galgluside_hs[g]	-779.07	479840.40	2795.69	2766.00	2783.81	1.00e-05	1.00e-02
udpgal[g]	-2369.77	444777.09	-1524.22	-1553.91	-1536.10	1.00e-05	1.00e-02
thcrm_hs[g]	0.00	0.00	2537.39	2507.70	2525.52	1.00e-05	1.00e-02
udp[g]	-1743.49	433564.06	-1321.22	-1355.98	-1344.10	1.40e-06	1.40e-04
T_antigen[g]	0.00	0.00	922.69	893.00	910.81	1.00e-05	1.00e-02
uacgam[g]	-1858.46	800008.39	-898.01	-927.70	-909.89	1.00e-05	1.00e-02
gncore1[g]	0.00	0.00	1422.48	1392.79	1410.60	1.00e-05	1.00e-02
core2[g]	0.00	0.00	1422.48	1392.79	1410.60	1.00e-05	1.00e-02
gncore2[g]	0.00	0.00	1922.27	1892.58	1910.39	1.00e-05	1.00e-02
aact[c]	-151.19	208919.31	195.87	166.18	183.99	1.00e-05	1.00e-02
mthgxl[c]	-208.57	146937.57	-34.60	-64.29	-46.48	1.00e-05	1.00e-02
aact[m]	-151.19	208919.31	231.47	201.78	219.59	1.00e-05	1.00e-02
L2aadp6sa[m]	-361.50	196501.41	168.96	139.28	157.09	1.00e-05	1.00e-02
fucgalacglcgalgluside_hs[g]	0.00	0.00	3421.64	3391.95	3409.76	1.00e-05	1.00e-02
udpacgal[g]	-1937.49	773945.42	-977.04	-1006.73	-988.92	1.00e-05	1.00e-02
acgalfucgalacglcgalgluside_hs[g]	0.00	0.00	3921.43	3891.74	3909.55	1.00e-05	1.00e-02
galfucgalacglcgalgluside_hs[g]	0.00	0.00	3806.09	3776.40	3794.21	1.00e-05	1.00e-02
fuc12gal14acglcgalgluside_hs[g]	0.00	0.00	3421.64	3391.95	3409.76	1.00e-05	1.00e-02
galfuc12gal14acglcgalgluside_hs[g]	0.00	0.00	3806.09	3776.40	3794.21	1.00e-05	1.00e-02
acgalfuc12gal14acglcgalgluside_hs[g]	0.00	0.00	3921.43	3891.74	3909.55	1.00e-05	1.00e-02
fucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	0.00	4690.33	4660.64	4678.46	1.00e-05	1.00e-02
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	0.00	5190.12	5160.43	5178.25	1.00e-05	1.00e-02
fucgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	4305.88	4276.19	4294.00	1.00e-05	1.00e-02
acgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	0.00	-29.69	-11.88	1.00e-05	1.00e-02
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	0.00	-29.69	-11.88	1.00e-05	1.00e-02
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	6074.36	6044.68	6062.49	1.00e-05	1.00e-02
galfucgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	4690.33	4660.64	4678.46	1.00e-05	1.00e-02
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	5574.57	5544.89	5562.70	1.00e-05	1.00e-02
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	0.00	6343.48	6313.79	6331.61	1.00e-05	1.00e-02
sucsal[m]	-462.67	3.76	-221.46	-251.15	-233.33	1.00e-05	1.00e-02
abt[c]	-704.08	240914.31	-182.17	-211.86	-194.05	1.00e-05	1.00e-02
xylu_L[c]	-720.51	83880.29	-285.59	-315.28	-297.47	1.00e-05	1.00e-02
abt[e]	-704.08	240914.31	-167.92	-197.61	-179.80	1.00e-05	1.00e-02
h[l]	-0.00	0.00	32.66	0.00	0.00	3.16e-06	3.16e-06
4abut[l]	-263.63	210937.64	36.69	7.00	24.82	1.00e-05	1.00e-02
4abut[e]	-263.63	210937.64	138.48	108.79	126.61	1.00e-05	1.00e-02
2maacoa[m]	-2290.09	798320.53	-456.90	-486.59	-468.78	1.00e-05	1.00e-02
ppcoa[m]	-2215.14	845623.23	-478.48	-508.16	-490.35	1.00e-05	1.00e-02
aacoa[m]	-2294.92	782268.82	-558.21	-587.90	-570.09	1.00e-05	1.00e-02
coa[x]	-2045.80	782268.82	-692.48	-722.17	-704.36	1.00e-05	1.00e-02
accoa[x]	-2182.56	782268.82	-744.54	-774.23	-756.42	1.00e-05	1.00e-02
aacoa[x]	-2294.92	782268.82	-772.27	-801.96	-784.14	1.00e-05	1.00e-02
acac[c]	-485.31	2.18	-267.84	-297.53	-279.72	1.00e-05	1.00e-02
acac[m]	-485.31	2.18	-244.09	-273.78	-255.97	1.00e-05	1.00e-02
3odcoa[x]	-2257.69	785102.60	-227.36	-257.05	-239.24	1.00e-05	1.00e-02
occoa[x]	-2186.90	845397.81	-241.55	-271.24	-253.42	1.00e-05	1.00e-02
3oddcoa[x]	-2242.02	785102.60	-42.48	-72.17	-54.36	1.00e-05	1.00e-02
dcacoa[x]	-2149.23	782268.82	-34.65	-64.34	-46.53	1.00e-05	1.00e-02
3otdcoa[x]	-2226.36	785102.60	142.40	112.71	130.53	1.00e-05	1.00e-02
ddcacoa[x]	-2133.56	782268.82	150.23	120.54	138.36	1.00e-05	1.00e-02
3ohdcoa[x]	-2210.70	785102.60	327.29	297.60	315.41	1.00e-05	1.00e-02
tdcoa[x]	-2139.91	845397.81	313.10	283.41	301.23	1.00e-05	1.00e-02
3ohodcoa[x]	-2195.03	785102.60	512.17	482.48	500.29	1.00e-05	1.00e-02
pmtcoa[x]	-2102.23	782268.82	520.00	490.31	508.12	1.00e-05	1.00e-02
3ohxccoa[x]	-2132.38	785102.60	1251.70	1222.01	1239.83	1.00e-05	1.00e-02
